Hauteur eau en aval du tronçon (m);ONDE CINEMATIQUE MODIFIEE ( VERSION 4.3.1.0000 )
date heure\troncon;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196
2020-01-01 00:00;0.67918;0.67855;0.05857;0.67856;0.06730;0.15276;0.02283;0.67833;0.02030;0.67814;0.03784;0.67837;0.00967;0.50859;0.01036;0.67890;0.67886;0.01243;0.67927;0.67991;0.00904;0.68013;0.00821;0.01421;0.01504;0.46895;0.03138;0.68050;0.68042;0.01327;0.68085;0.01578;0.54204;0.01201;0.68103;0.01436;0.68154;0.66158;0.68172;0.68556;0.68553;0.64751;0.64752;0.67807;0.56350;0.56063;0.43248;0.53374;0.53214;0.52569;0.52274;0.51355;0.48400;0.12192;0.47055;0.17400;0.47979;0.47802;0.47274;0.17175;0.46919;0.46890;0.19848;0.46558;0.40911;0.34241;0.39082;0.37449;0.44193;0.23851;0.34457;0.31974;0.26077;0.32542;0.28736;0.07189;0.04058;0.20994;0.04886;0.23379;0.23039;0.06908;0.22900;0.22743;0.22705;0.22673;0.22433;0.07443;0.22492;0.22232;0.20956;0.21018;0.05790;0.21028;0.08018;0.20462;0.16654;0.13928;0.13042;0.12742;0.12125;0.11781;0.08115;0.10494;0.02988;0.10743;0.04023;0.10401;0.02017;0.10355;0.04408;0.03070;0.02750;0.01342;0.04130;0.10134;0.03219;0.10177;0.10078;0.10071;0.06681;0.04921;0.03104;0.01958;0.01004;0.08587;0.04137;0.04753;0.01303;0.04630;0.06747;0.08301;0.04227;0.07437;0.04329;0.02579;0.03851;0.08746;0.04560;0.08891;0.07079;0.05724;0.04507;0.03585;0.02577;0.03009;0.05057;0.05812;0.20351;0.16608;0.11610;0.13531;0.07987;0.15062;0.09013;0.02839;0.05038;0.14757;0.09100;0.04203;0.04566;0.05240;0.09652;0.08173;0.10232;0.11086;0.07844;0.10157;0.08312;0.08776;0.06852;0.03431;0.23755;0.43674;0.57047;0.56746;0.07927;0.16036;0.13967;0.21490;0.16656;0.47260;0.34384;0.16548;0.27551;0.08094;0.12245;0.02654;0.64685;0.01314;0.13045;0.05126;0.09198;0.06569;0.03505;0.04975
2020-01-02 00:00;0.49601;0.49145;0.06584;0.49127;0.07263;0.16470;0.03239;0.48987;0.02490;0.48693;0.02990;0.48669;0.00966;0.36454;0.01152;0.48583;0.48574;0.01353;0.48516;0.48436;0.00952;0.48367;0.00980;0.01703;0.01684;0.33322;0.04063;0.48296;0.48243;0.01304;0.48075;0.01811;0.38172;0.01236;0.47907;0.01531;0.47894;0.46458;0.47679;0.47754;0.47631;0.45349;0.45298;0.56013;0.36476;0.35754;0.38999;0.32130;0.31657;0.30541;0.29610;0.28619;0.27612;0.03212;0.26789;0.04545;0.27309;0.27196;0.26903;0.04428;0.26766;0.26696;0.05432;0.26599;0.24834;0.09806;0.24392;0.23884;0.18357;0.16040;0.13848;0.22156;0.10450;0.13246;0.12165;0.06182;0.03807;0.08330;0.03346;0.19809;0.19417;0.05419;0.19295;0.19096;0.19010;0.18997;0.18624;0.06015;0.18667;0.18483;0.17594;0.17765;0.04292;0.17779;0.06489;0.17396;0.13632;0.11657;0.10676;0.10177;0.09603;0.09355;0.07799;0.08034;0.01856;0.08249;0.03166;0.07896;0.01847;0.07842;0.03608;0.02991;0.01786;0.00995;0.02225;0.07660;0.02618;0.07661;0.07554;0.07420;0.04109;0.02960;0.02199;0.01619;0.01007;0.06369;0.02754;0.03452;0.01225;0.03299;0.04909;0.06357;0.04041;0.05183;0.02961;0.02354;0.03041;0.07557;0.03428;0.07888;0.06762;0.04325;0.03713;0.03228;0.02427;0.02193;0.03518;0.03600;0.15713;0.14409;0.11184;0.14114;0.08581;0.14664;0.07404;0.02736;0.04675;0.14664;0.09152;0.02922;0.03644;0.04294;0.08319;0.05614;0.07895;0.09596;0.06277;0.08059;0.06431;0.06726;0.04617;0.02969;0.06762;0.17812;0.23396;0.22956;0.03982;0.04131;0.03597;0.05684;0.04307;0.20102;0.13444;0.20729;0.25740;0.09594;0.14961;0.02974;0.39278;0.01465;0.13317;0.04472;0.09496;0.07519;0.03397;0.05755
2020-01-03 00:00;0.42911;0.42323;0.11303;0.42257;0.13907;0.31546;0.06412;0.41770;0.04844;0.41509;0.05906;0.41485;0.01705;0.31090;0.01746;0.41461;0.41448;0.02075;0.41439;0.41394;0.01679;0.41369;0.01740;0.02959;0.02941;0.28510;0.08310;0.41326;0.41206;0.02498;0.41006;0.03396;0.32552;0.01443;0.40879;0.02413;0.40891;0.39627;0.40697;0.40577;0.40541;0.40099;0.40069;0.59373;0.28880;0.26243;0.30027;0.23286;0.22225;0.21212;0.18892;0.18111;0.18038;0.00687;0.17536;0.01108;0.17914;0.17868;0.17761;0.01424;0.17687;0.17677;0.01481;0.17653;0.17487;0.01794;0.17424;0.17290;0.05994;0.12111;0.03765;0.17037;0.07065;0.08864;0.08021;0.05461;0.03678;0.05737;0.02467;0.16357;0.16087;0.04676;0.15982;0.15889;0.15909;0.15912;0.15629;0.04032;0.15723;0.15708;0.14975;0.15158;0.03874;0.15168;0.04866;0.14871;0.10909;0.09075;0.08028;0.07527;0.07029;0.06766;0.06421;0.05675;0.01841;0.05775;0.02104;0.05546;0.01540;0.05495;0.02669;0.02116;0.01435;0.01123;0.01457;0.05335;0.02064;0.05303;0.05154;0.04869;0.03024;0.02188;0.01992;0.01719;0.00968;0.04050;0.02712;0.02787;0.01185;0.02641;0.03988;0.04699;0.03388;0.03546;0.01896;0.01774;0.03008;0.06782;0.03120;0.07220;0.06171;0.03671;0.03393;0.03027;0.02319;0.01882;0.03042;0.02371;0.13463;0.13328;0.10585;0.14112;0.08779;0.14100;0.06019;0.02318;0.03678;0.14303;0.08928;0.02529;0.02891;0.02684;0.05582;0.04357;0.05213;0.08207;0.04952;0.06018;0.04089;0.05596;0.03693;0.02629;0.01662;0.05515;0.07167;0.06388;0.02266;0.00950;0.01184;0.01131;0.00970;0.05474;0.03829;0.42851;0.19161;0.21032;0.32823;0.05704;0.19083;0.02402;0.15319;0.09029;0.11297;0.14370;0.06170;0.09907
2020-01-04 00:00;0.28417;0.27843;0.07334;0.27797;0.08993;0.20419;0.02592;0.27438;0.02569;0.27035;0.05982;0.26964;0.01078;0.20178;0.01175;0.26843;0.26830;0.01471;0.26744;0.26598;0.01098;0.26515;0.00926;0.01546;0.01812;0.18251;0.03502;0.26419;0.26329;0.01827;0.26099;0.01911;0.20663;0.01369;0.25905;0.01787;0.25870;0.25010;0.25511;0.25178;0.25046;0.24774;0.24706;0.33459;0.18803;0.16970;0.09265;0.16411;0.16005;0.15803;0.15110;0.14967;0.14998;0.00660;0.14621;0.01013;0.14971;0.14960;0.14942;0.01311;0.14885;0.14920;0.01365;0.14917;0.14978;0.01530;0.14979;0.14942;0.04150;0.10554;0.02252;0.14881;0.06401;0.07935;0.06992;0.04065;0.03591;0.05440;0.02305;0.14393;0.14227;0.03982;0.14148;0.14098;0.14103;0.14125;0.14004;0.03867;0.14075;0.14135;0.13462;0.13610;0.03792;0.13612;0.04847;0.13272;0.09364;0.07598;0.06493;0.06055;0.05488;0.05281;0.03683;0.04681;0.01357;0.04780;0.01956;0.04612;0.01228;0.04587;0.02104;0.01474;0.01322;0.00887;0.01423;0.04373;0.01585;0.04360;0.04209;0.04023;0.02804;0.02130;0.01811;0.01450;0.00993;0.02955;0.02245;0.02544;0.01182;0.02399;0.02863;0.03930;0.02544;0.03161;0.01402;0.01350;0.02428;0.06278;0.02463;0.06818;0.05489;0.03587;0.03200;0.02862;0.02157;0.01865;0.02829;0.02649;0.12192;0.12676;0.10063;0.13805;0.08754;0.13633;0.05102;0.01890;0.02299;0.13941;0.08676;0.02263;0.02646;0.02146;0.03712;0.04044;0.03882;0.05769;0.03943;0.05522;0.03986;0.05015;0.02894;0.02160;0.01544;0.03327;0.04327;0.03466;0.01912;0.00864;0.01091;0.00830;0.00851;0.02812;0.01665;0.19012;0.04005;0.10581;0.15421;0.03682;0.07909;0.01573;0.13363;0.07638;0.10677;0.08568;0.04822;0.06725
2020-01-05 00:00;0.18871;0.18492;0.05513;0.18454;0.04846;0.10966;0.01869;0.18273;0.01964;0.17986;0.04490;0.17929;0.00996;0.13415;0.01066;0.17847;0.17836;0.01214;0.17771;0.17666;0.00788;0.17606;0.00750;0.01349;0.01312;0.12117;0.02043;0.17538;0.17477;0.01006;0.17347;0.01237;0.13739;0.01364;0.17222;0.01342;0.17196;0.16554;0.16867;0.16569;0.16476;0.16310;0.16262;0.15331;0.14452;0.14154;0.02618;0.14178;0.14142;0.14112;0.14026;0.14009;0.14037;0.00703;0.13697;0.01020;0.14034;0.14032;0.14037;0.01363;0.13985;0.14030;0.01523;0.14031;0.14088;0.01531;0.14106;0.14099;0.04028;0.09973;0.02290;0.14060;0.06504;0.08066;0.07199;0.04700;0.03530;0.05401;0.02401;0.13569;0.13465;0.02840;0.13441;0.13451;0.13515;0.13527;0.13594;0.03733;0.13670;0.13747;0.13125;0.13261;0.03848;0.13263;0.04594;0.12961;0.09192;0.07422;0.06550;0.06197;0.05775;0.05477;0.03870;0.04876;0.01854;0.04946;0.01944;0.04760;0.01007;0.04743;0.02117;0.01367;0.01440;0.01137;0.01480;0.04585;0.01946;0.04538;0.04395;0.04208;0.02910;0.02189;0.01980;0.01727;0.00967;0.03614;0.02738;0.02693;0.01172;0.02610;0.03915;0.04023;0.02212;0.03484;0.01878;0.01678;0.03017;0.06054;0.03134;0.06379;0.04621;0.03525;0.03227;0.02941;0.02242;0.01888;0.02737;0.02375;0.12095;0.12331;0.09696;0.13447;0.08675;0.13259;0.04532;0.01581;0.02533;0.13620;0.08449;0.02536;0.02826;0.02221;0.03878;0.04070;0.03609;0.03890;0.03982;0.05075;0.03762;0.04385;0.03038;0.01624;0.01577;0.03318;0.04331;0.03343;0.02074;0.00913;0.01296;0.00855;0.00900;0.02737;0.01797;0.04775;0.02510;0.01496;0.04310;0.02347;0.04920;0.01275;0.09912;0.05646;0.10473;0.05710;0.03089;0.05448
2020-01-06 00:00;0.15518;0.15304;0.05288;0.15265;0.04557;0.10318;0.01788;0.15098;0.01927;0.14931;0.02832;0.14907;0.00882;0.11166;0.01058;0.14882;0.14872;0.01218;0.14848;0.14806;0.00760;0.14786;0.00730;0.01333;0.01273;0.10185;0.01926;0.14761;0.14713;0.00858;0.14669;0.01216;0.11653;0.01357;0.14627;0.01326;0.14621;0.14043;0.14379;0.14212;0.14182;0.14128;0.14105;0.07499;0.13863;0.13824;0.02691;0.13880;0.13877;0.13872;0.13839;0.13827;0.13852;0.00705;0.13519;0.01022;0.13854;0.13853;0.13860;0.01370;0.13808;0.13855;0.01548;0.13856;0.13899;0.01534;0.13919;0.13913;0.03961;0.09843;0.02305;0.13877;0.06291;0.07737;0.06829;0.03866;0.03464;0.05292;0.02416;0.13418;0.13327;0.03243;0.13285;0.13274;0.13319;0.13337;0.13352;0.03963;0.13412;0.13443;0.12836;0.12952;0.03854;0.12949;0.04878;0.12606;0.08961;0.07313;0.06371;0.06006;0.05473;0.05267;0.03251;0.04742;0.01390;0.04841;0.02013;0.04674;0.00898;0.04656;0.02162;0.01499;0.01371;0.00896;0.01551;0.04430;0.01609;0.04417;0.04277;0.04134;0.02913;0.02197;0.01856;0.01465;0.00990;0.03000;0.02309;0.02515;0.01174;0.02449;0.02904;0.03893;0.02184;0.03290;0.01470;0.01370;0.02454;0.05587;0.02500;0.05885;0.03396;0.03551;0.03117;0.02840;0.02128;0.01888;0.02614;0.02751;0.11540;0.12000;0.09413;0.13133;0.08573;0.12925;0.04151;0.01386;0.02177;0.13311;0.08232;0.02317;0.02668;0.02257;0.03923;0.04125;0.04138;0.04234;0.03785;0.05091;0.04144;0.03505;0.02913;0.01986;0.01590;0.03433;0.04485;0.03428;0.02185;0.00921;0.01314;0.00862;0.00908;0.02769;0.01926;0.04217;0.02552;0.01221;0.02304;0.02255;0.04739;0.01239;0.07379;0.03817;0.10287;0.05398;0.02428;0.05241
2020-01-07 00:00;0.14622;0.14453;0.05019;0.14416;0.04326;0.09794;0.01754;0.14262;0.01900;0.14132;0.03355;0.14107;0.00962;0.10570;0.01055;0.14095;0.14086;0.01199;0.14073;0.14043;0.00773;0.14033;0.00723;0.01328;0.01267;0.09670;0.01887;0.14020;0.13977;0.00886;0.13952;0.01201;0.11094;0.01360;0.13930;0.01309;0.13930;0.13372;0.13707;0.13521;0.13504;0.13468;0.13452;0.05107;0.13554;0.13541;0.02684;0.13589;0.13582;0.13572;0.13546;0.13532;0.13557;0.00701;0.13229;0.01017;0.13555;0.13554;0.13558;0.01360;0.13508;0.13552;0.01534;0.13552;0.13587;0.01528;0.13604;0.13595;0.03900;0.09617;0.02276;0.13557;0.06354;0.07846;0.07037;0.04635;0.03391;0.05197;0.02423;0.13070;0.12964;0.02760;0.12940;0.12941;0.13010;0.13014;0.13064;0.03788;0.13129;0.13184;0.12623;0.12733;0.03843;0.12730;0.04584;0.12425;0.08891;0.07294;0.06521;0.06182;0.05744;0.05449;0.03876;0.04841;0.01814;0.04910;0.01949;0.04718;0.00848;0.04702;0.02117;0.01384;0.01425;0.01104;0.01478;0.04536;0.01894;0.04493;0.04362;0.04197;0.02914;0.02187;0.01951;0.01681;0.00963;0.03539;0.02681;0.02575;0.01173;0.02605;0.03843;0.04034;0.02204;0.03492;0.01861;0.01634;0.02949;0.05526;0.03049;0.05673;0.03194;0.03439;0.03120;0.02901;0.02203;0.01869;0.02477;0.02376;0.11325;0.11689;0.09166;0.12889;0.08450;0.12586;0.03838;0.01232;0.02556;0.12990;0.08008;0.02516;0.02817;0.02250;0.03903;0.04101;0.03730;0.03987;0.04002;0.04843;0.03830;0.03636;0.03101;0.01657;0.01581;0.03428;0.04476;0.03426;0.02175;0.00916;0.01304;0.00859;0.00904;0.02694;0.01916;0.03206;0.02491;0.01052;0.01293;0.02229;0.04711;0.01233;0.07461;0.04419;0.10107;0.05164;0.02505;0.05098
2020-01-08 00:00;0.14244;0.14098;0.04816;0.14063;0.04278;0.09688;0.01755;0.13912;0.01899;0.13800;0.02728;0.13784;0.00870;0.10331;0.01056;0.13780;0.13771;0.01214;0.13763;0.13744;0.00750;0.13739;0.00722;0.01332;0.01270;0.09469;0.01911;0.13731;0.13691;0.00849;0.13677;0.01195;0.10880;0.01353;0.13665;0.01322;0.13667;0.13119;0.13467;0.13303;0.13296;0.13275;0.13262;0.04900;0.13396;0.13392;0.02737;0.13442;0.13442;0.13435;0.13426;0.13414;0.13439;0.00717;0.13117;0.01017;0.13442;0.13442;0.13449;0.01376;0.13399;0.13444;0.01587;0.13445;0.13474;0.01525;0.13493;0.13487;0.03904;0.09542;0.02280;0.13450;0.06180;0.07576;0.06695;0.03855;0.03324;0.05176;0.02441;0.13001;0.12914;0.03277;0.12868;0.12859;0.12894;0.12904;0.12908;0.03990;0.12958;0.12970;0.12418;0.12515;0.03851;0.12508;0.04872;0.12166;0.08716;0.07227;0.06353;0.06001;0.05459;0.05260;0.03268;0.04725;0.01381;0.04825;0.02030;0.04659;0.00843;0.04641;0.02182;0.01515;0.01380;0.00879;0.01589;0.04407;0.01568;0.04398;0.04257;0.04130;0.02936;0.02214;0.01846;0.01434;0.00988;0.02945;0.02301;0.02515;0.01172;0.02461;0.02853;0.03928;0.02206;0.03317;0.01476;0.01338;0.02402;0.05349;0.02448;0.05569;0.02971;0.03509;0.03048;0.02803;0.02087;0.01887;0.02482;0.02797;0.10845;0.11480;0.08973;0.12696;0.08314;0.12277;0.03649;0.01121;0.02215;0.12680;0.07791;0.02320;0.02667;0.02293;0.03976;0.04134;0.04236;0.04341;0.03824;0.05085;0.04178;0.03518;0.02949;0.02009;0.01589;0.03479;0.04541;0.03450;0.02230;0.00933;0.01376;0.00867;0.00921;0.02664;0.02037;0.02829;0.02664;0.01083;0.01260;0.02224;0.04721;0.01235;0.07079;0.03626;0.09924;0.05010;0.02359;0.04979
2020-01-09 00:00;0.14029;0.13897;0.04469;0.13866;0.03885;0.08796;0.01551;0.13738;0.01814;0.13631;0.03223;0.13609;0.00956;0.10199;0.01041;0.13601;0.13593;0.01182;0.13583;0.13561;0.00754;0.13554;0.00697;0.01296;0.01236;0.09341;0.01717;0.13546;0.13510;0.00856;0.13495;0.01143;0.10734;0.01354;0.13480;0.01289;0.13482;0.12943;0.13278;0.13098;0.13085;0.13056;0.13042;0.04840;0.13162;0.13152;0.02631;0.13195;0.13188;0.13177;0.13160;0.13148;0.13174;0.00684;0.12855;0.01006;0.13171;0.13168;0.13171;0.01333;0.13121;0.13163;0.01482;0.13163;0.13189;0.01517;0.13202;0.13190;0.03816;0.09327;0.02199;0.13149;0.06198;0.07635;0.06858;0.04610;0.03245;0.05046;0.02405;0.12669;0.12551;0.02731;0.12524;0.12515;0.12563;0.12561;0.12592;0.03789;0.12645;0.12688;0.12194;0.12287;0.03807;0.12279;0.04550;0.11972;0.08593;0.07198;0.06468;0.06125;0.05683;0.05388;0.03833;0.04786;0.01786;0.04853;0.01919;0.04661;0.00821;0.04646;0.02088;0.01372;0.01400;0.01095;0.01423;0.04480;0.01871;0.04438;0.04302;0.04134;0.02867;0.02160;0.01925;0.01668;0.00961;0.03477;0.02636;0.02583;0.01170;0.02585;0.03809;0.03999;0.02199;0.03457;0.01836;0.01618;0.02919;0.05388;0.03011;0.05495;0.03249;0.03381;0.03063;0.02871;0.02175;0.01856;0.02361;0.02338;0.10441;0.11198;0.08796;0.12480;0.08168;0.11964;0.03419;0.01034;0.02535;0.12376;0.07584;0.02491;0.02800;0.02221;0.03826;0.04082;0.03705;0.04010;0.03986;0.04837;0.03827;0.03621;0.03067;0.01652;0.01560;0.03393;0.04436;0.03399;0.02153;0.00899;0.01240;0.00850;0.00886;0.02555;0.01844;0.02382;0.02333;0.00960;0.01122;0.02129;0.04591;0.01209;0.07245;0.04220;0.09705;0.04661;0.02428;0.04729
2020-01-10 00:00;0.13702;0.13570;0.04391;0.13540;0.03938;0.08918;0.01705;0.13407;0.01848;0.13307;0.02629;0.13292;0.00868;0.09962;0.01049;0.13286;0.13278;0.01200;0.13270;0.13252;0.00738;0.13248;0.00711;0.01322;0.01257;0.09130;0.01868;0.13241;0.13204;0.00831;0.13189;0.01166;0.10491;0.01345;0.13176;0.01308;0.13178;0.12651;0.12987;0.12830;0.12823;0.12799;0.12787;0.04735;0.12912;0.12907;0.02595;0.12955;0.12953;0.12947;0.12936;0.12925;0.12953;0.00693;0.12641;0.00994;0.12954;0.12953;0.12959;0.01331;0.12910;0.12953;0.01506;0.12953;0.12979;0.01500;0.12995;0.12987;0.03774;0.09186;0.02165;0.12949;0.05977;0.07304;0.06467;0.03806;0.03170;0.04974;0.02398;0.12513;0.12417;0.03152;0.12371;0.12357;0.12378;0.12383;0.12383;0.03900;0.12424;0.12433;0.11955;0.12037;0.03791;0.12026;0.04764;0.11692;0.08359;0.07058;0.06244;0.05890;0.05352;0.05150;0.03218;0.04624;0.01360;0.04720;0.01985;0.04553;0.00816;0.04535;0.02131;0.01466;0.01360;0.00871;0.01541;0.04307;0.01547;0.04296;0.04158;0.04029;0.02887;0.02185;0.01823;0.01424;0.00976;0.02869;0.02273;0.02447;0.01163;0.02419;0.02827;0.03861;0.02155;0.03267;0.01457;0.01323;0.02374;0.05014;0.02404;0.05099;0.02068;0.03430;0.02991;0.02765;0.02055;0.01865;0.02388;0.02699;0.09958;0.11028;0.08623;0.12267;0.08011;0.11688;0.03324;0.00972;0.02179;0.12089;0.07384;0.02289;0.02632;0.02245;0.03869;0.04075;0.04085;0.04162;0.03764;0.04982;0.04063;0.03452;0.02899;0.01954;0.01543;0.03365;0.04392;0.03356;0.02139;0.00902;0.01295;0.00848;0.00891;0.02461;0.01887;0.02657;0.02423;0.01040;0.01182;0.02157;0.04546;0.01222;0.06814;0.03490;0.09517;0.04665;0.02314;0.04693
2020-01-11 00:00;0.62093;0.62512;0.11760;0.62469;0.15114;0.34277;0.07778;0.62146;0.05682;0.62656;0.06338;0.62764;0.01957;0.47148;0.01994;0.63172;0.63168;0.02326;0.63444;0.63797;0.01867;0.64037;0.01975;0.03390;0.03296;0.44222;0.09478;0.64319;0.64290;0.02700;0.64647;0.03787;0.51662;0.01646;0.65068;0.02702;0.65251;0.63317;0.65697;0.65943;0.66295;0.64803;0.64942;0.59209;0.59337;0.58231;0.46803;0.55508;0.55464;0.54745;0.54408;0.53670;0.51283;0.18191;0.49995;0.26695;0.50988;0.50827;0.50301;0.28829;0.49719;0.49728;0.29445;0.49189;0.43471;0.40463;0.41316;0.39360;0.44481;0.25474;0.36290;0.34193;0.35458;0.44078;0.40099;0.07776;0.04169;0.29512;0.06034;0.24285;0.24751;0.07886;0.24682;0.25287;0.25876;0.25830;0.26438;0.06736;0.26687;0.26551;0.24664;0.24821;0.07946;0.24859;0.08754;0.24133;0.19380;0.14685;0.13545;0.13401;0.12866;0.12603;0.08265;0.11346;0.03999;0.11560;0.04490;0.11427;0.01890;0.11389;0.05192;0.02942;0.03831;0.01978;0.06931;0.11073;0.03508;0.11127;0.10949;0.10854;0.09158;0.07135;0.04846;0.02929;0.01112;0.07227;0.07012;0.05592;0.01479;0.05296;0.06117;0.08955;0.03987;0.08268;0.04875;0.02453;0.04511;0.10243;0.05018;0.10779;0.06592;0.08061;0.06247;0.04274;0.02860;0.04329;0.08511;0.08689;0.28309;0.20885;0.11304;0.13548;0.08024;0.14553;0.08373;0.02162;0.05048;0.14279;0.08660;0.05310;0.04991;0.05129;0.09755;0.09246;0.11912;0.10713;0.09131;0.10153;0.07962;0.09702;0.08286;0.03774;0.29244;0.46043;0.58942;0.58131;0.08991;0.25283;0.25369;0.32881;0.26345;0.42897;0.46832;0.47617;0.40295;0.22722;0.35956;0.06690;0.50243;0.02771;0.16896;0.09973;0.11886;0.16299;0.06929;0.11605
2020-01-12 00:00;0.68404;0.68213;0.07522;0.68204;0.09578;0.21754;0.01973;0.68075;0.03371;0.67949;0.06681;0.67945;0.01238;0.50931;0.01365;0.67961;0.67954;0.01713;0.67968;0.67986;0.01272;0.67986;0.01049;0.01781;0.02085;0.46870;0.03629;0.67998;0.67970;0.02124;0.67954;0.02177;0.54076;0.01616;0.67929;0.02059;0.67967;0.65960;0.67899;0.68063;0.68030;0.64805;0.64786;0.81043;0.52201;0.51230;0.44577;0.48033;0.47715;0.47009;0.46461;0.45707;0.43407;0.08607;0.42220;0.12043;0.43099;0.42973;0.42607;0.11189;0.42356;0.42370;0.14140;0.42168;0.37759;0.26474;0.36522;0.35461;0.35738;0.23219;0.27515;0.31600;0.20299;0.25564;0.22775;0.07376;0.04188;0.15987;0.04866;0.26119;0.25743;0.06559;0.25637;0.25475;0.25535;0.25541;0.25313;0.07679;0.25429;0.25257;0.23875;0.24017;0.07040;0.24006;0.09019;0.23162;0.19841;0.16796;0.15920;0.15554;0.14950;0.14437;0.09585;0.13009;0.03902;0.13323;0.04729;0.12932;0.02315;0.12889;0.05159;0.03541;0.03239;0.01778;0.04434;0.12736;0.04511;0.12732;0.12676;0.12649;0.07926;0.05603;0.03809;0.02648;0.01324;0.11737;0.05303;0.05494;0.01700;0.05420;0.09124;0.09588;0.04653;0.08753;0.05205;0.03374;0.06422;0.10379;0.07315;0.09889;0.07680;0.06228;0.05073;0.04278;0.03202;0.03262;0.05108;0.05881;0.23538;0.17140;0.12796;0.14715;0.08669;0.16397;0.10031;0.03146;0.05760;0.16016;0.09939;0.05142;0.05503;0.05828;0.10605;0.08630;0.10208;0.11554;0.07902;0.10224;0.08409;0.08550;0.06702;0.03342;0.17931;0.36648;0.48171;0.47863;0.07006;0.10992;0.08736;0.14972;0.11398;0.39141;0.25450;0.21997;0.25683;0.11987;0.17170;0.04609;0.58870;0.01835;0.18362;0.08709;0.10913;0.08721;0.05335;0.07428
2020-01-13 00:00;0.37150;0.36475;0.05175;0.36455;0.04515;0.10208;0.01775;0.36323;0.02700;0.35792;0.05705;0.35702;0.01132;0.26701;0.01228;0.35492;0.35478;0.01396;0.35323;0.35111;0.00906;0.34962;0.00830;0.01539;0.01477;0.24055;0.01817;0.34802;0.34733;0.01282;0.34425;0.01315;0.27235;0.01600;0.34118;0.01526;0.34047;0.32968;0.33583;0.33354;0.33111;0.31877;0.31770;0.31071;0.27769;0.27427;0.13704;0.26632;0.26331;0.26043;0.25542;0.25034;0.24651;0.00689;0.23922;0.01172;0.24404;0.24313;0.24095;0.01492;0.23991;0.23934;0.01432;0.23888;0.23239;0.02008;0.23097;0.22841;0.10787;0.15808;0.07839;0.22126;0.08013;0.09974;0.09162;0.06274;0.03882;0.06186;0.03166;0.21073;0.20687;0.05492;0.20569;0.20397;0.20396;0.20414;0.20105;0.05923;0.20192;0.20077;0.19309;0.19525;0.05313;0.19521;0.07797;0.18890;0.15407;0.13249;0.12144;0.11588;0.10977;0.10659;0.08389;0.09265;0.02383;0.09512;0.03977;0.09057;0.02102;0.08998;0.04097;0.03363;0.02084;0.01309;0.02295;0.08818;0.03231;0.08792;0.08680;0.08537;0.04408;0.03125;0.02599;0.02155;0.01217;0.07597;0.03167;0.03828;0.01403;0.03693;0.05887;0.07104;0.04410;0.05856;0.03633;0.03160;0.04295;0.08755;0.04974;0.08887;0.07406;0.04828;0.04250;0.03772;0.02884;0.02428;0.03870;0.03784;0.17481;0.14789;0.11967;0.15366;0.09253;0.15524;0.07828;0.02885;0.05172;0.15524;0.09754;0.03430;0.04100;0.04861;0.09384;0.05844;0.07663;0.09350;0.06033;0.07839;0.06200;0.06407;0.04240;0.02896;0.01666;0.10357;0.13602;0.12973;0.03010;0.00985;0.01191;0.01414;0.01055;0.11788;0.02923;0.03134;0.01749;0.00843;0.01686;0.03193;0.19957;0.01522;0.14023;0.07458;0.10650;0.05118;0.03382;0.06038
