Débit en aval du tronçon (m3/s);ONDE CINEMATIQUE MODIFIEE ( VERSION 4.4.0.0000 )
date heure\troncon;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196
2020-01-01 00:00;13.06803;13.01557;0.00605;13.00930;0.03574;0.03557;0.00007;12.96907;0.00056;12.93721;0.00311;12.93110;0.00029;12.92791;0.00012;12.92176;12.92064;0.00059;12.91400;12.90126;0.00044;12.89511;0.00047;0.00021;0.00021;12.89199;0.00115;12.88715;12.87817;0.00401;12.85858;0.00094;12.84811;0.00022;12.84461;0.00070;12.84098;12.82551;12.80691;12.72090;12.71333;11.29680;11.29089;2.86673;8.40816;8.27920;0.74794;7.50296;7.45119;7.27075;7.17546;6.93166;6.21077;0.02098;6.16423;0.04004;6.10510;6.06359;5.93362;0.04028;5.89130;5.84236;0.06767;5.76315;4.50719;0.29133;4.14803;3.83649;0.63494;3.16416;0.26247;2.89820;0.54185;0.44101;0.29371;0.01980;0.01033;0.11935;0.01798;1.62751;1.55789;0.02446;1.52852;1.46527;1.37069;1.34854;1.26233;0.02750;1.23046;1.17140;1.05159;1.00469;0.00879;0.99528;0.02795;0.91443;0.51835;0.36790;0.29240;0.26422;0.21078;0.18410;0.02286;0.15123;0.00340;0.14548;0.00669;0.13075;0.00022;0.12958;0.00668;0.00327;0.00279;0.00048;0.00056;0.11358;0.00454;0.10899;0.10186;0.09601;0.02755;0.00935;0.00374;0.00170;0.00012;0.04513;0.00375;0.00628;0.00014;0.00519;0.01970;0.03848;0.00433;0.02840;0.00718;0.00078;0.00508;0.03730;0.00595;0.02473;0.00809;0.00920;0.00543;0.00318;0.00195;0.00084;0.00211;0.00349;0.14973;0.35428;0.25523;0.17570;0.13586;0.16738;0.01904;0.01151;0.00326;0.14734;0.14203;0.00533;0.00525;0.00229;0.02311;0.04370;0.05538;0.05760;0.02211;0.07270;0.03167;0.02129;0.01033;0.00433;0.20537;1.22961;1.18706;1.12466;0.05540;0.03788;0.02209;0.05923;0.02986;0.71706;0.17331;0.04012;0.14498;0.01647;0.02006;0.00163;1.39749;0.00025;0.08473;0.00285;0.01527;0.00708;0.00439;0.00093
2020-01-02 00:00;7.86015;7.71914;0.00737;7.71069;0.04050;0.04024;0.00012;7.65545;0.00078;7.56166;0.00208;7.54734;0.00027;7.53331;0.00015;7.50853;7.50629;0.00071;7.47867;7.43783;0.00046;7.41172;0.00064;0.00029;0.00025;7.39936;0.00177;7.38103;7.36360;0.00386;7.30000;0.00118;7.26017;0.00023;7.24426;0.00078;7.22912;7.21188;7.15052;7.05432;7.01819;6.32257;6.30663;2.08440;4.16983;4.00845;0.62953;3.32440;3.23612;3.03943;2.87386;2.69709;2.51844;0.00230;2.48900;0.00435;2.46267;2.44267;2.38814;0.00431;2.38042;2.35056;0.00790;2.33125;2.01796;0.03685;1.94388;1.86223;0.14762;1.67964;0.05763;1.61831;0.12248;0.10189;0.07283;0.01629;0.00939;0.02621;0.01070;1.27460;1.21274;0.01678;1.19003;1.13416;1.05407;1.03807;0.95760;0.02207;0.93085;0.88662;0.81130;0.78430;0.00536;0.77765;0.02226;0.72037;0.39294;0.29355;0.22927;0.20142;0.15926;0.13721;0.02244;0.10757;0.00158;0.10429;0.00463;0.09183;0.00019;0.09078;0.00502;0.00339;0.00136;0.00026;0.00019;0.07933;0.00326;0.07592;0.07034;0.06528;0.01303;0.00448;0.00215;0.00114;0.00012;0.03163;0.00188;0.00439;0.00013;0.00365;0.01594;0.02806;0.00425;0.01875;0.00568;0.00070;0.00340;0.03012;0.00371;0.02085;0.00770;0.00620;0.00404;0.00275;0.00182;0.00050;0.00116;0.00188;0.09865;0.27994;0.24165;0.18898;0.15178;0.16064;0.01396;0.01108;0.00294;0.14610;0.14356;0.00303;0.00427;0.00166;0.01809;0.02376;0.03933;0.04630;0.01597;0.05395;0.02393;0.01408;0.00549;0.00363;0.02557;0.28050;0.27247;0.25190;0.01780;0.00402;0.00236;0.00669;0.00320;0.17341;0.03684;0.05831;0.12944;0.02187;0.02799;0.00197;0.61010;0.00030;0.08961;0.00222;0.01616;0.00888;0.00412;0.00118
2020-01-03 00:00;6.13794;5.98471;0.01815;5.96635;0.11960;0.11889;0.00039;5.83884;0.00236;5.76742;0.00630;5.75629;0.00084;5.75084;0.00029;5.73915;5.73601;0.00141;5.72545;5.70092;0.00123;5.68943;0.00166;0.00072;0.00063;5.68334;0.00584;5.67102;5.64113;0.01131;5.58190;0.00336;5.55118;0.00031;5.54509;0.00166;5.53921;5.51718;5.47916;5.36142;5.35080;5.13457;5.12539;2.29674;2.81476;2.39383;0.40723;1.94228;1.79923;1.66297;1.37936;1.28253;1.26027;0.00018;1.25072;0.00043;1.24273;1.23654;1.22033;0.00065;1.21846;1.20837;0.00092;1.20343;1.14923;0.00239;1.13448;1.11223;0.02331;1.07520;0.00668;1.06702;0.06264;0.05162;0.03612;0.01310;0.00893;0.01390;0.00574;0.94571;0.90145;0.01359;0.88346;0.84625;0.79150;0.77974;0.71822;0.01219;0.70210;0.67736;0.62042;0.60193;0.00448;0.59651;0.01393;0.55368;0.26742;0.18946;0.13563;0.11229;0.08551;0.07631;0.01760;0.05536;0.00127;0.05306;0.00255;0.04689;0.00014;0.04611;0.00326;0.00217;0.00091;0.00026;0.00011;0.03929;0.00195;0.03718;0.03371;0.02875;0.00744;0.00255;0.00161;0.00098;0.00011;0.00997;0.00164;0.00238;0.00012;0.00181;0.00448;0.01510;0.00325;0.00805;0.00162;0.00041;0.00285;0.02479;0.00282;0.01785;0.00676;0.00445;0.00337;0.00235;0.00158;0.00038;0.00091;0.00084;0.07727;0.24641;0.22312;0.18981;0.15793;0.15102;0.01009;0.00887;0.00225;0.14055;0.13872;0.00212;0.00221;0.00076;0.00945;0.01569;0.02131;0.03678;0.01173;0.03483;0.01224;0.01079;0.00400;0.00292;0.00252;0.04193;0.03974;0.03158;0.00702;0.00036;0.00037;0.00052;0.00028;0.02039;0.00484;0.19585;0.07916;0.08089;0.10376;0.00584;0.18465;0.00070;0.11570;0.00705;0.02172;0.02613;0.01108;0.00292
2020-01-04 00:00;3.15548;3.04049;0.00891;3.03082;0.05850;0.05825;0.00009;2.95995;0.00083;2.88046;0.00686;2.86442;0.00058;2.85409;0.00015;2.83562;2.83338;0.00081;2.81294;2.77894;0.00074;2.76039;0.00058;0.00025;0.00028;2.75142;0.00139;2.73829;2.72130;0.00693;2.67287;0.00132;2.64456;0.00029;2.63345;0.00101;2.62272;2.60192;2.55181;2.45145;2.42669;2.32321;2.31032;0.88694;1.38606;1.16548;0.05789;1.08471;1.03912;1.01321;0.93840;0.91940;0.91238;0.00016;0.90973;0.00035;0.90739;0.90567;0.90111;0.00055;0.90025;0.89727;0.00078;0.89540;0.87467;0.00164;0.86877;0.85926;0.01254;0.84192;0.00280;0.83854;0.05418;0.04403;0.02987;0.00947;0.00860;0.01273;0.00509;0.75000;0.71991;0.01110;0.70587;0.67933;0.63849;0.63075;0.59028;0.00960;0.57748;0.56442;0.51650;0.50050;0.00434;0.49566;0.01240;0.45777;0.20337;0.13766;0.09617;0.08186;0.06145;0.05227;0.00992;0.03956;0.00079;0.03802;0.00195;0.03362;0.00009;0.03326;0.00200;0.00105;0.00079;0.00018;0.00009;0.02792;0.00115;0.02669;0.02376;0.02111;0.00640;0.00240;0.00134;0.00072;0.00011;0.00848;0.00119;0.00246;0.00012;0.00197;0.00657;0.01208;0.00218;0.00749;0.00162;0.00024;0.00198;0.02132;0.00188;0.01626;0.00568;0.00422;0.00303;0.00212;0.00136;0.00038;0.00081;0.00096;0.06508;0.22722;0.20738;0.18341;0.15762;0.14295;0.00777;0.00665;0.00126;0.13480;0.13302;0.00180;0.00227;0.00052;0.00472;0.01358;0.01119;0.02402;0.00771;0.02662;0.00904;0.00876;0.00302;0.00240;0.00216;0.01695;0.01623;0.01074;0.00519;0.00029;0.00031;0.00026;0.00021;0.00656;0.00114;0.05108;0.00616;0.02576;0.02959;0.00282;0.04340;0.00034;0.09590;0.00569;0.02010;0.01108;0.00755;0.00153
2020-01-05 00:00;1.60761;1.55053;0.00558;1.54455;0.02147;0.02126;0.00005;1.51586;0.00053;1.47384;0.00524;1.46361;0.00028;1.45834;0.00013;1.44928;1.44784;0.00057;1.43682;1.41860;0.00036;1.40893;0.00041;0.00019;0.00016;1.40417;0.00056;1.39749;1.38887;0.00309;1.36722;0.00063;1.35410;0.00027;1.34829;0.00062;1.34262;1.32266;1.29481;1.22662;1.21379;1.16482;1.15812;0.24396;0.89514;0.85912;0.00715;0.84708;0.84180;0.83525;0.82352;0.81741;0.81098;0.00018;0.80972;0.00035;0.80843;0.80760;0.80524;0.00059;0.80454;0.80287;0.00094;0.80141;0.78252;0.00164;0.77842;0.77170;0.01193;0.75723;0.00288;0.75404;0.05326;0.04290;0.02892;0.00877;0.00836;0.01261;0.00539;0.67185;0.64938;0.00819;0.63889;0.61827;0.58157;0.57417;0.54640;0.00872;0.53506;0.52315;0.47820;0.46205;0.00443;0.45728;0.01116;0.42161;0.18930;0.12589;0.08626;0.07101;0.05246;0.04533;0.00450;0.03815;0.00129;0.03621;0.00210;0.03240;0.00007;0.03212;0.00190;0.00081;0.00091;0.00028;0.00010;0.02719;0.00164;0.02547;0.02290;0.01961;0.00675;0.00244;0.00158;0.00100;0.00011;0.00728;0.00169;0.00211;0.00012;0.00164;0.00414;0.01050;0.00140;0.00703;0.00112;0.00035;0.00291;0.02056;0.00286;0.01467;0.00447;0.00406;0.00306;0.00220;0.00146;0.00038;0.00077;0.00077;0.06283;0.21729;0.19645;0.17555;0.15545;0.13638;0.00634;0.00507;0.00098;0.12968;0.12783;0.00214;0.00196;0.00055;0.00507;0.01383;0.01035;0.01242;0.00736;0.02459;0.00878;0.00772;0.00241;0.00130;0.00223;0.01676;0.01616;0.01003;0.00593;0.00032;0.00042;0.00027;0.00023;0.00623;0.00127;0.00565;0.00268;0.00105;0.00369;0.00133;0.01923;0.00024;0.06595;0.00432;0.01961;0.00566;0.00402;0.00108
2020-01-06 00:00;1.14540;1.11574;0.00522;1.11041;0.01832;0.01815;0.00005;1.08836;0.00051;1.06615;0.00266;1.06145;0.00027;1.05957;0.00013;1.05617;1.05507;0.00058;1.05053;1.04222;0.00033;1.03870;0.00039;0.00019;0.00016;1.03680;0.00051;1.03415;1.02805;0.00242;1.01978;0.00061;1.01518;0.00027;1.01312;0.00061;1.01092;0.99176;0.97917;0.92860;0.92454;0.89708;0.89412;0.07470;0.81385;0.80407;0.00732;0.79580;0.79389;0.78993;0.78375;0.77881;0.77233;0.00018;0.77151;0.00036;0.77059;0.77004;0.76839;0.00059;0.76774;0.76653;0.00096;0.76525;0.74599;0.00165;0.74264;0.73713;0.01151;0.72406;0.00291;0.72098;0.05108;0.04064;0.02708;0.00713;0.00813;0.01221;0.00555;0.64398;0.62358;0.00507;0.61669;0.59722;0.56327;0.55660;0.53271;0.00976;0.52064;0.50776;0.46627;0.45008;0.00446;0.44541;0.01241;0.41003;0.18389;0.12469;0.08965;0.07815;0.05910;0.04998;0.00676;0.04034;0.00083;0.03876;0.00202;0.03437;0.00006;0.03410;0.00204;0.00103;0.00084;0.00018;0.00011;0.02856;0.00119;0.02729;0.02440;0.02213;0.00684;0.00253;0.00141;0.00075;0.00011;0.00888;0.00126;0.00249;0.00012;0.00208;0.00688;0.01175;0.00154;0.00810;0.00180;0.00025;0.00206;0.01795;0.00197;0.01317;0.00310;0.00415;0.00290;0.00210;0.00134;0.00038;0.00070;0.00104;0.05866;0.20778;0.18805;0.16875;0.15262;0.13060;0.00539;0.00409;0.00075;0.12482;0.12295;0.00189;0.00234;0.00056;0.00517;0.01401;0.01187;0.01191;0.00663;0.02372;0.00977;0.00590;0.00280;0.00182;0.00227;0.01774;0.01713;0.01046;0.00647;0.00032;0.00043;0.00028;0.00023;0.00636;0.00142;0.00410;0.00275;0.00070;0.00125;0.00124;0.01795;0.00023;0.04994;0.00242;0.01907;0.00516;0.00300;0.00101
2020-01-07 00:00;1.02206;0.99942;0.00479;0.99458;0.01746;0.01731;0.00004;0.97429;0.00050;0.95742;0.00233;0.95376;0.00022;0.95269;0.00013;0.95053;0.94954;0.00055;0.94652;0.94104;0.00031;0.93894;0.00038;0.00019;0.00015;0.93768;0.00049;0.93595;0.93067;0.00185;0.92570;0.00059;0.92295;0.00027;0.92172;0.00060;0.92030;0.90171;0.89281;0.86086;0.85880;0.83592;0.83382;0.03917;0.79203;0.78541;0.00729;0.77709;0.77525;0.77124;0.76631;0.76141;0.75519;0.00018;0.75425;0.00035;0.75322;0.75259;0.75071;0.00059;0.75005;0.74868;0.00095;0.74734;0.72793;0.00164;0.72433;0.71840;0.01115;0.70531;0.00285;0.70223;0.05134;0.04106;0.02803;0.00892;0.00787;0.01175;0.00550;0.62456;0.60397;0.00686;0.59506;0.57606;0.54337;0.53605;0.51168;0.00904;0.50050;0.48816;0.44852;0.43229;0.00442;0.42754;0.01117;0.39359;0.17810;0.12137;0.08648;0.07198;0.05325;0.04597;0.00499;0.03826;0.00124;0.03633;0.00210;0.03237;0.00005;0.03210;0.00191;0.00084;0.00090;0.00026;0.00010;0.02713;0.00156;0.02549;0.02298;0.01991;0.00677;0.00244;0.00154;0.00095;0.00011;0.00732;0.00163;0.00201;0.00012;0.00166;0.00428;0.01065;0.00135;0.00720;0.00119;0.00034;0.00280;0.01637;0.00274;0.01071;0.00114;0.00388;0.00289;0.00215;0.00142;0.00038;0.00065;0.00076;0.05623;0.19899;0.18079;0.16344;0.14930;0.12497;0.00472;0.00342;0.00106;0.11989;0.11802;0.00211;0.00200;0.00056;0.00514;0.01398;0.01097;0.01045;0.00728;0.02173;0.00914;0.00425;0.00247;0.00124;0.00224;0.01769;0.01708;0.01045;0.00642;0.00032;0.00042;0.00028;0.00023;0.00608;0.00141;0.00261;0.00264;0.00055;0.00048;0.00122;0.01776;0.00023;0.03166;0.00192;0.01855;0.00480;0.00226;0.00096
2020-01-08 00:00;0.97618;0.95628;0.00448;0.95177;0.01648;0.01633;0.00004;0.93291;0.00049;0.91832;0.00161;0.91569;0.00027;0.91489;0.00013;0.91320;0.91227;0.00057;0.90987;0.90510;0.00033;0.90359;0.00038;0.00019;0.00016;0.90263;0.00050;0.90128;0.89642;0.00205;0.89230;0.00059;0.89029;0.00027;0.88944;0.00061;0.88835;0.87032;0.86355;0.82962;0.82825;0.80673;0.80496;0.03664;0.76673;0.76082;0.00753;0.75264;0.75122;0.74743;0.74387;0.73928;0.73321;0.00019;0.73257;0.00035;0.73177;0.73135;0.72997;0.00060;0.72935;0.72829;0.00100;0.72704;0.70762;0.00163;0.70458;0.69957;0.01116;0.68727;0.00286;0.68428;0.04989;0.03952;0.02660;0.00741;0.00763;0.01166;0.00567;0.61080;0.59197;0.00556;0.58480;0.56656;0.53481;0.52803;0.50513;0.00994;0.49314;0.47996;0.44284;0.42673;0.00446;0.42211;0.01240;0.38818;0.17660;0.12320;0.09032;0.07917;0.05979;0.05040;0.00693;0.04050;0.00083;0.03892;0.00205;0.03447;0.00005;0.03419;0.00209;0.00106;0.00085;0.00018;0.00011;0.02856;0.00113;0.02735;0.02452;0.02248;0.00693;0.00257;0.00140;0.00072;0.00012;0.00900;0.00125;0.00244;0.00012;0.00213;0.00712;0.01206;0.00158;0.00833;0.00190;0.00024;0.00199;0.01672;0.00191;0.01215;0.00271;0.00408;0.00279;0.00205;0.00130;0.00038;0.00064;0.00108;0.05294;0.19309;0.17506;0.15938;0.14566;0.11993;0.00434;0.00298;0.00084;0.11520;0.11330;0.00189;0.00239;0.00058;0.00528;0.01400;0.01240;0.01225;0.00674;0.02276;0.00995;0.00511;0.00286;0.00184;0.00226;0.01814;0.01749;0.01057;0.00670;0.00033;0.00046;0.00028;0.00024;0.00597;0.00156;0.00211;0.00295;0.00058;0.00045;0.00121;0.01782;0.00023;0.03379;0.00142;0.01803;0.00457;0.00250;0.00093
2020-01-09 00:00;0.95278;0.93566;0.00397;0.93167;0.01464;0.01452;0.00004;0.91485;0.00046;0.90163;0.00231;0.89838;0.00022;0.89765;0.00012;0.89596;0.89509;0.00054;0.89278;0.88848;0.00029;0.88704;0.00036;0.00018;0.00015;0.88611;0.00042;0.88490;0.88055;0.00176;0.87707;0.00054;0.87526;0.00027;0.87440;0.00058;0.87328;0.85586;0.84862;0.81860;0.81712;0.79610;0.79434;0.03583;0.75655;0.75053;0.00705;0.74240;0.74060;0.73682;0.73293;0.72851;0.72279;0.00017;0.72180;0.00035;0.72077;0.72011;0.71816;0.00057;0.71751;0.71613;0.00090;0.71483;0.69570;0.00162;0.69208;0.68616;0.01076;0.67338;0.00270;0.67044;0.04934;0.03932;0.02693;0.00883;0.00736;0.01119;0.00544;0.59592;0.57513;0.00673;0.56632;0.54750;0.51484;0.50758;0.48340;0.00909;0.47225;0.46000;0.42541;0.40937;0.00436;0.40467;0.01105;0.37192;0.17021;0.12071;0.08586;0.07142;0.05272;0.04531;0.00499;0.03764;0.00119;0.03575;0.00204;0.03180;0.00005;0.03154;0.00186;0.00083;0.00086;0.00025;0.00009;0.02664;0.00149;0.02506;0.02258;0.01960;0.00658;0.00239;0.00149;0.00092;0.00011;0.00726;0.00157;0.00198;0.00012;0.00165;0.00440;0.01057;0.00136;0.00714;0.00121;0.00033;0.00273;0.01676;0.00266;0.01128;0.00242;0.00376;0.00280;0.00210;0.00138;0.00037;0.00060;0.00074;0.04906;0.18518;0.16983;0.15481;0.14179;0.11488;0.00387;0.00262;0.00105;0.11065;0.10881;0.00207;0.00200;0.00055;0.00494;0.01383;0.01086;0.01058;0.00722;0.02215;0.00915;0.00490;0.00246;0.00151;0.00219;0.01740;0.01682;0.01031;0.00632;0.00031;0.00039;0.00027;0.00022;0.00557;0.00132;0.00159;0.00237;0.00047;0.00037;0.00113;0.01701;0.00022;0.02985;0.00199;0.01741;0.00406;0.00211;0.00085
2020-01-10 00:00;0.91840;0.90067;0.00385;0.89679;0.01437;0.01425;0.00004;0.88036;0.00047;0.86743;0.00164;0.86487;0.00025;0.86411;0.00012;0.86235;0.86150;0.00056;0.85924;0.85476;0.00031;0.85332;0.00037;0.00019;0.00015;0.85240;0.00048;0.85113;0.84676;0.00195;0.84262;0.00057;0.84057;0.00027;0.83973;0.00060;0.83862;0.82173;0.81529;0.78404;0.78264;0.76195;0.76023;0.03471;0.72368;0.71787;0.00690;0.71006;0.70841;0.70475;0.70092;0.69642;0.69108;0.00018;0.69030;0.00034;0.68942;0.68891;0.68735;0.00057;0.68674;0.68559;0.00092;0.68437;0.66581;0.00159;0.66265;0.65752;0.01057;0.64557;0.00264;0.64277;0.04721;0.03723;0.02512;0.00719;0.00710;0.01093;0.00548;0.57297;0.55412;0.00535;0.54707;0.52934;0.49858;0.49199;0.47012;0.00956;0.45855;0.44599;0.41422;0.39847;0.00434;0.39394;0.01189;0.36178;0.16374;0.11740;0.08643;0.07534;0.05652;0.04775;0.00643;0.03846;0.00079;0.03695;0.00198;0.03272;0.00005;0.03245;0.00200;0.00100;0.00083;0.00017;0.00011;0.02704;0.00109;0.02588;0.02319;0.02117;0.00671;0.00251;0.00136;0.00070;0.00011;0.00820;0.00122;0.00229;0.00012;0.00202;0.00649;0.01153;0.00151;0.00793;0.00172;0.00023;0.00193;0.01512;0.00184;0.01058;0.00181;0.00392;0.00270;0.00200;0.00126;0.00038;0.00060;0.00101;0.04592;0.18040;0.16477;0.15045;0.13770;0.11047;0.00368;0.00238;0.00081;0.10641;0.10455;0.00184;0.00227;0.00056;0.00504;0.01366;0.01172;0.01139;0.00655;0.02202;0.00950;0.00478;0.00269;0.00162;0.00216;0.01716;0.01655;0.01010;0.00625;0.00031;0.00042;0.00027;0.00023;0.00522;0.00137;0.00190;0.00252;0.00054;0.00041;0.00115;0.01673;0.00022;0.03110;0.00145;0.01689;0.00407;0.00239;0.00084
2020-01-11 00:00;11.97383;12.02361;0.01945;12.00664;0.13828;0.13741;0.00053;11.88797;0.00309;11.97521;0.00709;11.98874;0.00061;12.01344;0.00036;12.05873;12.05721;0.00166;12.10378;12.15603;0.00130;12.19822;0.00205;0.00090;0.00077;12.21668;0.00728;12.24233;12.22410;0.01254;12.26797;0.00400;12.30785;0.00037;12.33843;0.00201;12.36403;12.34227;12.42117;12.30895;12.37916;11.60870;11.63057;2.29949;9.43634;9.07836;0.85389;8.28030;8.22985;8.00642;7.85463;7.60102;6.99126;0.04088;6.95976;0.08175;6.88837;6.84124;6.68736;0.09552;6.59632;6.53962;0.13062;6.40955;5.06894;0.38541;4.62561;4.22949;0.64332;3.58697;0.28641;3.30209;0.91054;0.73434;0.51331;0.02120;0.01107;0.21183;0.02503;1.77915;1.78960;0.03242;1.76255;1.76736;1.71266;1.68380;1.65538;0.02348;1.63098;1.56489;1.36700;1.31133;0.01489;1.30032;0.03283;1.18421;0.64368;0.38239;0.28610;0.25792;0.20175;0.18468;0.01957;0.15458;0.00454;0.14809;0.00820;0.13816;0.00020;0.13698;0.00855;0.00299;0.00463;0.00067;0.00132;0.11703;0.00420;0.11290;0.10370;0.09511;0.04644;0.01710;0.00699;0.00239;0.00014;0.01972;0.00794;0.00750;0.00017;0.00572;0.00547;0.04102;0.00380;0.03115;0.00654;0.00065;0.00557;0.04759;0.00618;0.03357;0.00674;0.01604;0.00915;0.00407;0.00216;0.00154;0.00505;0.00677;0.26064;0.52297;0.24820;0.17732;0.13797;0.15967;0.01730;0.00799;0.00332;0.14076;0.13302;0.00734;0.00501;0.00225;0.02380;0.05461;0.07334;0.05384;0.02881;0.07436;0.03015;0.02476;0.01383;0.00481;0.29062;1.35219;1.26050;1.17660;0.06840;0.08093;0.05972;0.12054;0.06414;0.61318;0.29138;0.23460;0.27364;0.09205;0.12111;0.00763;0.92400;0.00089;0.12540;0.00833;0.02415;0.03227;0.01303;0.00380
2020-01-12 00:00;13.22498;13.12925;0.00928;13.11945;0.06474;0.06449;0.00005;13.04495;0.00130;12.97901;0.00811;12.96429;0.00037;12.95734;0.00019;12.94316;12.94089;0.00102;12.92553;12.89839;0.00079;12.88517;0.00072;0.00031;0.00036;12.87871;0.00148;12.86906;12.85361;0.00850;12.81578;0.00161;12.79586;0.00036;12.78824;0.00127;12.78028;12.75857;12.71831;12.57391;12.55709;11.31772;11.30585;3.85908;7.41701;7.13891;0.78667;6.30982;6.22714;6.04778;5.90577;5.71589;5.18761;0.01175;5.15220;0.02172;5.11224;5.08358;4.99480;0.01980;4.97255;4.93863;0.03849;4.89011;3.94702;0.18982;3.70816;3.50529;0.44683;3.02624;0.18046;2.84251;0.36466;0.30294;0.20440;0.02413;0.01144;0.07657;0.01804;1.95012;1.86764;0.02475;1.83596;1.76161;1.65723;1.63392;1.52696;0.02899;1.49289;1.43056;1.28791;1.23541;0.01217;1.22171;0.03426;1.10467;0.67770;0.48463;0.38626;0.34403;0.27726;0.24992;0.02716;0.21076;0.00673;0.20151;0.00892;0.18394;0.00027;0.18255;0.00939;0.00409;0.00444;0.00154;0.00063;0.16133;0.01014;0.15106;0.14248;0.13007;0.03965;0.01181;0.00827;0.00585;0.00019;0.06143;0.00815;0.00751;0.00021;0.00623;0.01878;0.04622;0.00491;0.03470;0.00770;0.00129;0.01353;0.05268;0.01474;0.02996;0.00920;0.01107;0.00707;0.00470;0.00324;0.00096;0.00216;0.00359;0.19225;0.37546;0.29682;0.20341;0.15499;0.19376;0.02290;0.01356;0.00416;0.16967;0.16291;0.00831;0.00603;0.00274;0.02704;0.04830;0.05641;0.06560;0.02325;0.07397;0.03281;0.01964;0.00985;0.00421;0.12856;0.91824;0.89569;0.84700;0.04510;0.02022;0.01017;0.03255;0.01591;0.52444;0.10529;0.06499;0.12904;0.03171;0.03538;0.00410;1.19432;0.00045;0.14151;0.00694;0.02126;0.01142;0.00856;0.00181
2020-01-13 00:00;5.04961;4.87863;0.00502;4.87187;0.01885;0.01863;0.00005;4.83046;0.00089;4.69816;0.00657;4.67258;0.00028;4.65089;0.00016;4.61338;4.61040;0.00071;4.56694;4.50553;0.00042;4.46592;0.00048;0.00024;0.00020;4.44735;0.00047;4.42143;4.40382;0.00390;4.32048;0.00070;4.26661;0.00035;4.24205;0.00077;4.21861;4.19637;4.10197;3.99471;3.93751;3.59885;3.57430;0.79255;2.69832;2.62299;0.11102;2.45911;2.40579;2.34864;2.26000;2.16794;2.09136;0.00022;2.06788;0.00056;2.04848;2.03331;1.99394;0.00081;1.99009;1.96603;0.00099;1.95526;1.80794;0.00386;1.77529;1.72869;0.06249;1.63590;0.02254;1.61006;0.08189;0.06651;0.04792;0.01747;0.01026;0.01645;0.00972;1.40087;1.33413;0.01782;1.30922;1.25331;1.17497;1.15930;1.07332;0.01881;1.04954;1.00778;0.93609;0.90660;0.00762;0.89728;0.02697;0.81820;0.47200;0.35267;0.26947;0.23031;0.18397;0.16578;0.02413;0.13319;0.00371;0.12782;0.00681;0.11403;0.00023;0.11276;0.00612;0.00380;0.00200;0.00061;0.00021;0.10002;0.00712;0.09270;0.08679;0.07771;0.01582;0.00455;0.00409;0.00290;0.00016;0.03937;0.00403;0.00431;0.00015;0.00346;0.01083;0.02912;0.00453;0.01870;0.00413;0.00131;0.01003;0.04176;0.00934;0.02603;0.00904;0.00794;0.00591;0.00442;0.00330;0.00059;0.00136;0.00172;0.11848;0.29381;0.26867;0.21883;0.17109;0.17710;0.01535;0.01201;0.00365;0.16117;0.15845;0.00507;0.00394;0.00203;0.02210;0.02557;0.03601;0.04646;0.01563;0.04889;0.02004;0.01302;0.00481;0.00328;0.00294;0.11847;0.11423;0.10089;0.01108;0.00046;0.00043;0.00103;0.00041;0.07201;0.00471;0.00377;0.00240;0.00048;0.00122;0.00222;0.20336;0.00032;0.09695;0.00559;0.02055;0.00473;0.00422;0.00128
